variety_name,w+3_raw_accuracy,w+4_raw_accuracy,w+3_raw_wape,w+4_raw_wape
Ariya,1.0856151880248266,1.7522818546914933,0.08561518802482658,0.7522818546914932
Asteae,1.2406654813309628,1.3663957327914655,0.32600965201930404,0.6409702819405639
Athena,0.6569027464831618,1.8394738444674503,0.3430972535168382,0.8394738444674502
Azore,0.7613327487943884,2.834984655852696,0.33003068829460763,1.834984655852696
Babe,2.2810663308144417,2.1353904282115868,1.2810663308144417,1.135390428211587
Baby Follies,0.49328205128205127,0.8144615384615385,0.5067179487179487,0.18553846153846154
Bandolero,1.6167230546157565,2.2379168680521992,0.6167230546157564,1.237916868052199
Belle Rose,0.6022144761123641,1.1748000820176339,0.39778552388763583,0.17480008201763378
Camaro,1.554963801281518,1.6113838728468004,0.5549638012815179,0.6113838728468004
Cheyenne,0.728648869796461,2.1777641403293444,0.2713511302035389,1.1777641403293444
Chococcino,1.2482758620689656,6.314942528735632,0.2482758620689655,5.314942528735632
Destini,0.6667360099854379,1.0282920740586645,0.3332639900145621,0.02829207405866445
Dima Bombastic,0.8729066985645934,11.50627990430622,0.5535287081339713,10.50627990430622
Dinara,1.147204599524187,2.2243259318001587,0.14720459952418716,1.2243259318001587
Downtown,1.858373205741627,4.499202551834131,0.8583732057416268,3.4992025518341308
Dynamite,1.8994276369582992,1.818206595802671,0.8994276369582993,0.8182065958026711
Eyeliner,1.8970514742628686,6.403798100949525,0.8970514742628686,5.403798100949525
Fire Flash,2.010099823840282,1.7190839694656488,1.0100998238402819,0.7190839694656489
Fireworks,2.0606037820970715,2.5323508402571524,1.0606037820970713,1.5323508402571526
Flinders Lane,0.4828273875470862,1.738533126523377,0.5171726124529138,0.7385331265233769
Gelato,0.6579917588375623,1.157015831706788,0.3986120147473433,0.4007807417046194
Gentle Trend Setter,0.8181222707423581,2.896069868995633,0.6155021834061135,1.8960698689956332
Gissele,1.7254569253890533,1.9926310175982935,0.7254569253890532,0.9926310175982935
Grand Trend Setter,0.5907747519527127,0.5537259869115474,0.4092252480472873,0.4462740130884526
Impressionist,0.3157894736842105,0.9997607655502392,0.6842105263157895,0.00023923444976076556
Julietta,1.1211418634980437,2.405810752064918,0.32488045210839006,1.4058107520649181
Jumilia,0.9006303299962922,1.7363737486095663,0.09936967000370782,0.7363737486095662
La Belle,0.4215875053487377,2.6719084296106117,0.5784124946512623,1.671908429610612
Lady Bombastic,1.774724036945258,2.9062851993692274,0.7747240369452579,1.9062851993692274
Lady Of The Dawn,0.28846706931262583,0.5317802703480011,0.7115329306873742,0.4682197296519989
Leila,0.960687843324576,1.6012419393360402,0.17640315261523765,0.6012419393360401
Lianne,0.7925734287018719,1.1828235174757773,0.2823010196317151,0.41576624562471465
Madam Bombastic,2.512030516431925,2.473004694835681,1.512030516431925,1.4730046948356808
Madam Cerise,1.1958876953575215,2.0554146881194963,0.4003042736618874,1.0554146881194966
Madam Pink,1.465581051073279,2.0513905043882836,0.4655810510732791,1.0513905043882839
Madam Red,1.7472669246961363,3.051537991444286,0.7472669246961363,2.051537991444286
Magic Avalanche,1.7978825794032725,2.372473532242541,0.7978825794032723,1.372473532242541
Maitai,1.426657263751763,2.8072990126939352,0.42665726375176305,1.8072990126939352
Marisa,2.5767040235164433,2.402535366525813,1.5767040235164431,1.402535366525813
Mirabel,3.800112476902065,5.874427572909135,2.800112476902065,4.874427572909135
Miss Bombastic,1.880549199084668,1.9734553775743706,0.8805491990846682,0.9734553775743707
Misty Bubbles,0.6787072243346007,0.5269961977186312,0.32129277566539927,0.47300380228136885
Moonwalk,1.629966150008908,1.9461072510244077,0.6299661500089079,0.9461072510244076
My Beauty,0.6262783844687121,1.6491592997053215,0.3737216155312879,0.6491592997053215
Nalani,0.47720637772288343,0.5946552885695037,0.5227936222771166,0.4053447114304963
Nathalie,1.1753846153846155,1.3555128205128204,0.1753846153846154,0.3555128205128205
Odilia,2.06846274670491,2.0301850713651572,1.0684627467049101,1.0301850713651575
Orange Strike,1.8655312053358741,2.0126250595521675,0.8655312053358742,1.0226298237255835
Paranita,1.402994738972076,1.681586402266289,0.4029947389720761,0.681586402266289
Princess Peach,0.9387720773759461,1.9725820016820859,0.06122792262405383,0.9725820016820858
Reflex,3.01421263822097,2.892425031396453,2.01421263822097,1.892425031396453
Revival,0.7216091135635457,0.563189747241011,0.27839088643645427,0.43681025275898894
Rowena,1.5847506210586662,1.9103764570991784,0.5847506210586662,0.9103764570991782
Royal Park,0.8580441640378549,2.466876971608833,0.14195583596214512,1.4668769716088328
Royal Porcelina,1.5942559224366597,2.007454495563889,0.5942559224366597,1.007454495563889
Salinero,0.7316443495920967,1.6371897697153281,0.2781315617362569,0.6371897697153283
Silver Shadow,1.0579632602104512,2.4214374888532193,0.05796326021045122,1.4214374888532193
Smashing,1.597012861291661,1.3310745401742499,0.5970128612916609,0.33107454017424975
Snow Storm,1.0346241060526775,1.2092272806558522,0.03462410605267748,0.20922728065585208
Snowflake,1.4057931336582161,1.5542900947270437,0.40579313365821607,0.5542900947270437
Snowy Blossoms,2.545058645918012,2.554174892579259,1.5450586459180118,1.5541748925792591
Sparkling Bubbles,2.768687244328747,2.8988471550762367,1.7686872443287467,1.8988471550762365
Summer Dance,2.0007334963325185,2.2663814180929096,1.0007334963325183,1.2663814180929096
Summer Rose,0.6650289126573189,0.6363808156014966,0.3349710873426811,0.5082202653161495
Summer Time,11.212173913043479,17.968695652173913,10.212173913043479,16.968695652173913
Sweet Gelato,1.3576448539746993,1.9448695923785726,0.4177729189442449,0.9448695923785726
Sweet Revival,1.1002080894784758,0.7852126414358174,0.10020808947847575,0.45916243984913513
Tarantella,1.0381121994657168,1.2525378450578806,0.03811219946571683,0.2525378450578807
Trinity,1.2945853843241197,1.4852328663385082,0.2945853843241196,0.48523286633850815
Uzuri,1.180367118914605,1.3357275871242351,0.18036711891460494,0.33572758712423517
Wedding Invite,1.7550540667606958,1.6488011283497885,0.7550540667606959,0.6488011283497884
